Timestamp;Latitude;Longitude
1478302361;-8.61947;-36.61303
1478302422;-8.61948;-36.61301
1478302483;-8.61954;-36.61298
1478302675;-8.61957;-36.61303
1478302736;-8.61933;-36.61309
1478302797;-8.61956;-36.61293
1478302858;-8.61958;-36.61293
1478305177;-8.61961;-36.61294
1478306407;-8.61955;-36.61302
1478306468;-8.61960;-36.61307
1478308100;-8.61974;-36.61296
1478311239;-8.61960;-36.61316
1478312093;-8.61948;-36.61307
1478312154;-8.61960;-36.61314
1478312215;-8.61964;-36.61320
1478312322;-8.61957;-36.61322
1478312385;-8.61961;-36.61306
1478312446;-8.61961;-36.61286
1478312512;-8.62005;-36.61316
1478312587;-8.61956;-36.61336
1478312648;-8.61943;-36.61310
1478312709;-8.61953;-36.61321
1478312770;-8.61944;-36.61285
1478312831;-8.61965;-36.61287
1478313176;-8.61960;-36.61295
1478313346;-8.61936;-36.61326
1478313453;-8.61955;-36.61296
1478313514;-8.61964;-36.61318
1478313918;-8.61969;-36.61319
1478313979;-8.61950;-36.61336
1478314040;-8.61967;-36.61308
1478314101;-8.61976;-36.61309
1478314162;-8.61976;-36.61277
1478326383;-8.61953;-36.61307
1478326443;-8.61961;-36.61310
1478326504;-8.61962;-36.61311
1478326565;-8.61963;-36.61311
1478326630;-8.61954;-36.61319
1478326691;-8.61967;-36.61301
1478326752;-8.61962;-36.61311
1478326813;-8.61962;-36.61311
1478326874;-8.61962;-36.61311
1478326935;-8.61961;-36.61309
1478326996;-8.61960;-36.61309
1478327057;-8.61961;-36.61309
1478327118;-8.61962;-36.61311
1478327179;-8.61962;-36.61313
1478327240;-8.61963;-36.61312
1478327301;-8.61963;-36.61313
1478327362;-8.61963;-36.61312
1478327423;-8.61963;-36.61312
1478327484;-8.61963;-36.61312
1478327545;-8.61962;-36.61312
1478327606;-8.61963;-36.61312
1478327667;-8.61963;-36.61312
1478327728;-8.61963;-36.61311
1478327789;-8.61963;-36.61312
1478327850;-8.61963;-36.61311
1478327911;-8.61963;-36.61311
1478327972;-8.61963;-36.61312
1478328033;-8.61965;-36.61311
1478328094;-8.61964;-36.61310
1478328155;-8.61964;-36.61310
1478328216;-8.61963;-36.61311
1478328277;-8.61963;-36.61310
1478328338;-8.61966;-36.61310
1478328399;-8.61964;-36.61309
1478328460;-8.61963;-36.61310
1478328521;-8.61963;-36.61311
1478328582;-8.61965;-36.61309
1478328643;-8.61964;-36.61310
1478328704;-8.61964;-36.61310
1478328765;-8.61964;-36.61310
1478328826;-8.61964;-36.61310
1478328887;-8.61964;-36.61309
1478328948;-8.61964;-36.61309
1478329009;-8.61964;-36.61309
1478329070;-8.61964;-36.61310
1478329131;-8.61964;-36.61310
1478329192;-8.61969;-36.61312
1478329253;-8.61967;-36.61308
1478329314;-8.61963;-36.61309
1478329375;-8.61956;-36.61309
1478329436;-8.61967;-36.61306
1478329497;-8.61975;-36.61310
1478329558;-8.61965;-36.61312
1478329619;-8.61963;-36.61314
1478329680;-8.61964;-36.61312
1478329741;-8.61963;-36.61312
1478329802;-8.61963;-36.61313
1478329863;-8.61963;-36.61314
