data_vaca;tbs;ur;tgn;tpo
10/20/16 02h14min7s;30.192;42.833;38.087;16.525
10/20/16 02h29min7s;30.419;40.936;42.505;16.016
10/20/16 02h44min7s;32.330;40.707;47.222;17.637
10/20/16 02h59min7s;31.970;37.346;43.982;15.945
10/20/16 03h14min7s;31.740;39.473;42.267;16.620
10/20/16 03h29min7s;32.150;36.079;43.223;15.557
10/20/16 03h44min7s;32.201;35.677;41.590;15.424
10/20/16 03h59min7s;32.898;35.030;41.531;15.744
10/20/16 04h14min7s;32.073;36.004;38.198;15.456
10/20/16 04h29min7s;31.842;38.040;37.425;16.124
10/20/16 04h44min7s;30.925;40.357;33.966;16.244
10/20/16 04h59min7s;29.265;45.682;29.790;16.698
10/20/16 05h14min7s;27.284;53.856;26.378;17.444
10/20/16 05h29min7s;25.793;58.407;24.508;17.302
10/20/16 05h44min7s;25.040;61.623;23.881;17.413
10/20/16 05h59min7s;24.146;65.461;23.016;17.482
10/20/16 06h14min7s;23.545;66.650;22.417;17.179
10/20/16 06h29min7s;22.992;68.017;21.891;16.956
10/20/16 06h44min7s;22.681;68.883;21.891;16.846
10/20/16 06h59min7s;22.489;70.209;21.795;16.946
10/20/16 07h14min7s;22.154;71.705;21.485;16.937
10/20/16 07h29min7s;21.987;72.609;21.413;16.961
10/20/16 07h44min7s;21.724;73.317;21.127;16.850
10/20/16 07h59min7s;21.413;74.040;20.865;16.695
10/20/16 08h14min7s;21.223;74.986;20.698;16.696
10/20/16 08h29min7s;21.103;75.423;20.484;16.666
10/20/16 08h44min7s;21.127;75.629;20.674;16.729
10/20/16 08h59min7s;21.079;76.051;20.627;16.764
10/20/16 09h14min7s;20.936;76.625;20.507;16.735
10/20/16 09h29min7s;20.793;77.025;20.365;16.672
10/20/16 09h44min7s;20.746;77.044;20.341;16.630
10/20/16 09h59min7s;20.674;77.372;20.293;16.622
10/20/16 10h14min7s;20.603;77.528;20.246;16.582
10/20/16 10h29min7s;20.507;77.879;20.103;16.555
10/20/16 10h44min7s;20.412;78.001;20.031;16.485
10/20/16 10h59min7s;20.293;78.431;19.912;16.448
10/20/16 11h14min7s;20.246;78.846;19.841;16.479
10/20/16 11h29min7s;20.246;79.129;19.912;16.531
10/20/16 11h44min7s;20.198;79.261;19.841;16.508
10/20/16 11h59min7s;20.222;79.322;19.841;16.543
